[Fri Apr 28 12:01:59.404202 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$educs in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 130, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404213 2023] [php7:warn] [pid 24946] [client 10.10.0.24:43144] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 130, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404225 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$character in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 135, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404237 2023] [php7:warn] [pid 24946] [client 10.10.0.24:43144] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 135, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404261 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$skills in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 139, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404274 2023] [php7:warn] [pid 24946] [client 10.10.0.24:43144] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 139, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404286 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$phone in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 143, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404299 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 143, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404311 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$phone in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 143, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404323 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 143, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404335 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$email in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 144, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404347 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 144, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404358 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$email in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 144, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404370 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 144, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404382 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$site in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 145, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404393 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 145, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404405 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$site in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 145, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404417 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 145, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404429 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$tg in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 146, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404440 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 146, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404458 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$tg in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 146, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404470 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 146, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404482 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$lates in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 149, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404494 2023] [php7:warn] [pid 24946] [client 10.10.0.24:43144] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 149, referer: https://b24-ktafz3.bitrix24.ru/
